temp_h,humidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,timestamp
30.0426979065,37.3768310547,1015.47338867,69.9843380474,357.886016325,152.888921476,-137.656478882,107.05254364,26.5243415833,0.164135888219,0.653111994267,0.720124185085,['x'],['y'],['z'],2017-05-12 16:51:45.786282
30.060333252,39.6089019775,1015.47387695,56.9501514505,14.9135387603,155.678780544,-159.895782471,-9.40783309937,25.7154464722,0.163651004434,0.651898086071,0.720124185085,['x'],['y'],['z'],2017-05-12 16:51:45.920814
30.060333252,39.6089019775,1015.47387695,56.9501514505,14.9135387603,155.678780544,-159.895782471,-9.40783309937,25.7154464722,0.163651004434,0.651898086071,0.720124185085,['x'],['y'],['z'],2017-05-12 16:51:45.920814
30.060333252,40.1226043701,1015.4765625,46.9990200374,25.1870790079,153.887344869,-132.791503906,-80.6756896973,25.1120128632,0.039033792913,-0.018815619871,-0.0156668573618,['x'],['y'],['z'],2017-05-12 16:51:46.062134
30.060333252,40.1226043701,1015.4765625,46.9990200374,25.1870790079,153.887344869,-132.791503906,-80.6756896973,25.1120128632,0.039033792913,-0.018815619871,-0.0156668573618,['x'],['y'],['z'],2017-05-12 16:51:46.062134
30.060333252,40.1226043701,1015.47192383,50.0100952726,33.7525340856,159.00072501,-83.2541046143,-31.1047115326,7.49416589737,0.16340854764,0.653840363026,0.687712490559,['x'],['y'],['z'],2017-05-12 16:51:46.182108
30.060333252,40.1226043701,1015.47192383,50.0100952726,33.7525340856,159.00072501,-83.2541046143,-31.1047115326,7.49416589737,0.16340854764,0.653840363026,0.687712490559,['x'],['y'],['z'],2017-05-12 16:51:46.182108
30.060333252,41.5525741577,1015.48339844,54.4267585522,22.5582331114,143.408782833,-110.55544281,-13.992348671,70.6665267944,0.16340854764,0.653840363026,0.687712490559,['x'],['y'],['z'],2017-05-12 16:51:46.301894
30.060333252,41.5525741577,1015.48339844,54.4267585522,22.5582331114,143.408782833,-110.55544281,-13.992348671,70.6665267944,0.16340854764,0.653840363026,0.687712490559,['x'],['y'],['z'],2017-05-12 16:51:46.301894
30.060333252,41.5525741577,1015.48339844,54.4267585522,22.5582331114,143.408782833,-110.55544281,-13.992348671,70.6665267944,0.16340854764,0.653840363026,0.687712490559,['x'],['y'],['z'],2017-05-12 16:51:46.301894
30.060333252,41.5525741577,1015.48022461,55.0858000901,5.91167258751,118.478988513,-80.7528076172,-5.92971038818,47.1196098328,-4.86537742615,3.85360383987,0.748392999172,['x'],['y'],['z'],2017-05-12 16:51:46.442481
30.060333252,41.5525741577,1015.48022461,55.0858000901,5.91167258751,118.478988513,-80.7528076172,-5.92971038818,47.1196098328,-4.86537742615,3.85360383987,0.748392999172,['x'],['y'],['z'],2017-05-12 16:51:46.442481
30.060333252,41.5525741577,1015.48022461,52.0900825353,13.6201408419,125.617246535,-62.2407150269,-0.829997837543,33.161781311,0.162923648953,0.654568791389,0.717199802399,['x'],['y'],['z'],2017-05-12 16:51:46.578677
30.060333252,41.5525741577,1015.48022461,52.0900825353,13.6201408419,125.617246535,-62.2407150269,-0.829997837543,33.161781311,0.162923648953,0.654568791389,0.717199802399,['x'],['y'],['z'],2017-05-12 16:51:46.578677
30.060333252,42.0812988281,1015.48291016,26.2290055827,39.032342031,139.799656234,-54.5627708435,1.38531041145,16.6789722443,0.163893431425,0.653840363026,0.716712415218,['x'],['y'],['z'],2017-05-12 16:51:46.716323
30.060333252,42.0812988281,1015.48291016,26.2290055827,39.032342031,139.799656234,-54.5627708435,1.38531041145,16.6789722443,0.163893431425,0.653840363026,0.716712415218,['x'],['y'],['z'],2017-05-12 16:51:46.716323
30.060333252,39.6779937744,1015.484375,25.6459584371,41.0320540803,138.831012466,-115.219589233,-76.6507797241,92.1375808716,0.163651004434,0.655054330826,0.718174636364,['x'],['y'],['z'],2017-05-12 16:51:46.847473
30.060333252,39.6779937744,1015.484375,25.6459584371,41.0320540803,138.831012466,-115.219589233,-76.6507797241,92.1375808716,0.163651004434,0.655054330826,0.718174636364,['x'],['y'],['z'],2017-05-12 16:51:46.847473
30.060333252,39.6779937744,1015.484375,25.6459584371,41.0320540803,138.831012466,-115.219589233,-76.6507797241,92.1375808716,0.163651004434,0.655054330826,0.718174636364,['x'],['y'],['z'],2017-05-12 16:51:46.847473
30.060333252,39.6779937744,1015.484375,22.7587008711,40.9912300397,137.74473918,-76.5236740112,-67.6880874634,74.4122161865,0.164863213897,0.653597652912,0.717687249184,['x'],['y'],['z'],2017-05-12 16:51:46.979378
30.060333252,39.6779937744,1015.484375,22.7587008711,40.9912300397,137.74473918,-76.5236740112,-67.6880874634,74.4122161865,0.164863213897,0.653597652912,0.717687249184,['x'],['y'],['z'],2017-05-12 16:51:46.979378
30.060333252,39.6779937744,1015.48193359,18.8322795418,39.6460959996,134.669665073,-60.7828521729,-25.9518814087,43.6356964111,0.0356395505369,-0.0168858133256,-0.0149437719956,['x'],['y'],['z'],2017-05-12 16:51:47.115968
30.060333252,39.6779937744,1015.48193359,18.8322795418,39.6460959996,134.669665073,-60.7828521729,-25.9518814087,43.6356964111,0.0356395505369,-0.0168858133256,-0.0149437719956,['x'],['y'],['z'],2017-05-12 16:51:47.115968
30.2543315887,36.7399559021,1015.47924805,29.0894068449,46.437339431,138.884069375,-54.8212547302,-29.9013633728,69.1123657227,-4.92856740952,3.79144883156,0.748392999172,['x'],['y'],['z'],2017-05-12 16:51:47.261151
